"Datum";"Jahr";"Monat";"Tag";"T";"Tmax";"Tmin";"RR";"Sun"
"1960-06-01";1960;6;1;13.7;19.2;6.6;0;9.6
"1960-06-02";1960;6;2;15.4;21;7.5;0;12.6
"1960-06-03";1960;6;3;16.6;22.6;7.4;0;16
"1960-06-04";1960;6;4;17;24.4;8.6;1.1;8.5
"1960-06-05";1960;6;5;17.4;24.9;12.2;0;9.9
"1960-06-06";1960;6;6;19.9;25.8;10.9;1.4;8.8
"1960-06-07";1960;6;7;19.9;26.9;11.8;1.1;5.3
"1960-06-08";1960;6;8;16.8;23.4;12;0;13.9
"1960-06-09";1960;6;9;19.3;25.4;13.4;0.2;8
"1960-06-10";1960;6;10;17.9;23.4;13;0.7;7.9
"1960-06-11";1960;6;11;16.4;20.7;12.5;1;5.9
"1960-06-12";1960;6;12;16.6;22.4;12;0.1;7.2
"1960-06-13";1960;6;13;18.6;24;14.5;38.6;5.6
"1960-06-14";1960;6;14;15.6;19;14.4;7.6;1.1
"1960-06-15";1960;6;15;13.5;19.9;11.2;10.4;5.9
"1960-06-16";1960;6;16;16.4;20.7;8.6;0.3;11.1
"1960-06-17";1960;6;17;17.7;21.4;13.4;0;5.2
"1960-06-18";1960;6;18;18.7;23.5;12.6;7.8;9
"1960-06-19";1960;6;19;15.6;18.7;13.2;2.3;6.9
"1960-06-20";1960;6;20;13.4;17.6;10.3;0.1;5.1
"1960-06-21";1960;6;21;16.3;21;10.3;0;14.5
"1960-06-22";1960;6;22;17.4;22;8.4;0;14.9
"1960-06-23";1960;6;23;19.6;24.8;10.4;0;14.9
"1960-06-24";1960;6;24;19.2;24.6;11.1;0;14.6
"1960-06-25";1960;6;25;20.2;25.9;12;0;13.1
"1960-06-26";1960;6;26;20.4;26.4;11.3;0;15.2
"1960-06-27";1960;6;27;19;24.6;13.1;4.8;12
"1960-06-28";1960;6;28;13.3;18.4;11.6;2;6.8
"1960-06-29";1960;6;29;11.4;13.5;8.2;9;0.5
"1960-06-30";1960;6;30;11.9;14.5;10.2;2;0.4
"1960-07-01";1960;7;1;9.8;14;8.6;3.7;2.3
"1960-07-02";1960;7;2;11.6;15;8.3;0.4;1.5
"1960-07-03";1960;7;3;12.8;16.5;9;21.6;3.3
"1960-07-04";1960;7;4;11.6;15.3;9.2;1.8;1.1
"1960-07-05";1960;7;5;14.7;20;9.3;2.7;5.6
"1960-07-06";1960;7;6;15.2;20.9;12.8;4.2;3.8
"1960-07-07";1960;7;7;16;21.3;11.5;0;8.6
"1960-07-08";1960;7;8;18.1;23.7;9.8;12.4;2.9
"1960-07-09";1960;7;9;15.5;19.6;13.7;0;8.5
"1960-07-10";1960;7;10;16.9;21.8;9.4;0;8.1
"1960-07-11";1960;7;11;18.5;24.3;14.1;0.3;6.2
"1960-07-12";1960;7;12;16.5;22;13.8;0;7
"1960-07-13";1960;7;13;16.2;21.8;11.5;0;10.8
"1960-07-14";1960;7;14;19.6;25.2;10.6;0;12.5
"1960-07-15";1960;7;15;19.4;23.9;15.8;11.1;5.2
"1960-07-16";1960;7;16;15.8;19.7;14.6;12.5;4.4
"1960-07-17";1960;7;17;17.4;23.4;11.1;0;9.5
"1960-07-18";1960;7;18;19.4;24.9;14.7;0;6.7
"1960-07-19";1960;7;19;19.5;25.2;10.9;0;8.6
"1960-07-20";1960;7;20;18.1;24;14;0;14.7
"1960-07-21";1960;7;21;15.4;19.1;12.4;5;0.5
"1960-07-22";1960;7;22;14.3;19;12.4;0.6;5.9
"1960-07-23";1960;7;23;14;20;10;0.8;6.8
"1960-07-24";1960;7;24;15.1;18.3;9.6;0.1;8.2
"1960-07-25";1960;7;25;16.1;21.9;11.2;0;13.6
"1960-07-26";1960;7;26;16.6;21.2;9.9;0;3.1
"1960-07-27";1960;7;27;15.2;19.6;10.2;0;7.3
"1960-07-28";1960;7;28;15.7;21;11.8;0;6
"1960-07-29";1960;7;29;18;22.8;10.2;0;3.2
"1960-07-30";1960;7;30;21.4;27.9;12.1;0;12.8
"1960-07-31";1960;7;31;23.2;30.4;15.4;0;14
"1960-08-01";1960;8;1;23.9;29.4;13.1;0;12.5
"1960-08-02";1960;8;2;16.3;23.5;16;0;0
"1960-08-03";1960;8;3;15.4;20.6;13.4;0.6;4.2
"1960-08-04";1960;8;4;14.2;15.3;12.1;1.9;0
"1960-08-05";1960;8;5;17.1;23.4;11.6;2;7.2
"1960-08-06";1960;8;6;16.4;22.1;13.4;0;9
"1960-08-07";1960;8;7;14;18.1;12.6;0.4;1.2
"1960-08-08";1960;8;8;15.3;20.5;10.4;0;4.5
"1960-08-09";1960;8;9;15.9;23.3;8.2;0;9
"1960-08-10";1960;8;10;15.2;20.1;11;0.4;4.7
"1960-08-11";1960;8;11;16.2;20.5;11.7;5.5;0.6
"1960-08-12";1960;8;12;16;19.9;15.1;2.3;1
"1960-08-13";1960;8;13;14.6;17.6;12.7;0;0
"1960-08-14";1960;8;14;12.2;18.9;9.4;0;7.8
"1960-08-15";1960;8;15;13.8;20.9;5.7;6.6;7.7
"1960-08-16";1960;8;16;13.7;19.8;11;6.1;5.1
"1960-08-17";1960;8;17;14.6;20.6;10.4;0.2;12.5
"1960-08-18";1960;8;18;15.5;18.3;11.8;6.6;0
"1960-08-19";1960;8;19;14.2;19.2;11.8;0.3;4.5
"1960-08-20";1960;8;20;13.6;18.6;10.6;1.9;4
"1960-08-21";1960;8;21;13.6;19.2;10.8;0.5;5.7
"1960-08-22";1960;8;22;15.5;20.2;10.1;0.8;2.1
"1960-08-23";1960;8;23;17.4;24.4;15.1;0.9;6.2
"1960-08-24";1960;8;24;17.8;23.1;13.2;0;7
"1960-08-25";1960;8;25;18.7;24.7;14.3;1.1;2.3
"1960-08-26";1960;8;26;21.4;30.1;14.1;0;10.4
"1960-08-27";1960;8;27;25.7;31.5;17.5;0;10.4
"1960-08-28";1960;8;28;19.8;26.2;17.5;3.1;4.8
"1960-08-29";1960;8;29;17;22.3;15.5;0.1;9.5
"1960-08-30";1960;8;30;15.1;19.5;13.6;4.2;5.4
"1960-08-31";1960;8;31;13.4;17.4;12.2;4.4;3.3
"1961-06-01";1961;6;1;17.4;23;10.2;0;10.7
"1961-06-02";1961;6;2;18;25.1;10.8;0;13.7
"1961-06-03";1961;6;3;18;25.2;10.7;0;13.8
"1961-06-04";1961;6;4;19.1;25.4;13;0.2;12.7
"1961-06-05";1961;6;5;20.8;27.8;13.4;1.7;9.4
"1961-06-06";1961;6;6;21.2;25.9;12.5;0;14.3
"1961-06-07";1961;6;7;19.8;25.4;12.6;0.3;10.6
"1961-06-08";1961;6;8;18.2;22.6;15;0;7.4
"1961-06-09";1961;6;9;20.1;25.3;13;2.9;8.4
"1961-06-10";1961;6;10;15.7;20.6;14.4;8.9;1.9
"1961-06-11";1961;6;11;17.2;21.1;13.3;15;9.1
"1961-06-12";1961;6;12;13.1;17.9;12.7;8.7;4.7
"1961-06-13";1961;6;13;14.6;17;9.6;15.6;2.5
"1961-06-14";1961;6;14;14;17.7;12.5;0.9;0.7
"1961-06-15";1961;6;15;12.8;15.4;10.8;0;0.2
"1961-06-16";1961;6;16;14.6;20;8;0;12.1
"1961-06-17";1961;6;17;18.6;23.2;10.2;0;7.9
"1961-06-18";1961;6;18;18.8;25.4;14.9;0.9;8.9
"1961-06-19";1961;6;19;14.9;19.9;11.1;0;13.4
"1961-06-20";1961;6;20;14;19.8;8.7;0;12.7
"1961-06-21";1961;6;21;13.6;18.9;9.8;0;5.6
"1961-06-22";1961;6;22;16.9;24.4;7.4;0;13.6
"1961-06-23";1961;6;23;18;23.1;12.4;0;10.8
"1961-06-24";1961;6;24;19.5;25.3;13;0;10.7
"1961-06-25";1961;6;25;22.6;28.6;16.7;0;14.5
"1961-06-26";1961;6;26;22.9;29.9;11.6;0;14.7
"1961-06-27";1961;6;27;19.2;25.3;15.8;3.7;4.9
"1961-06-28";1961;6;28;14.8;19.3;10.7;0;8.5
"1961-06-29";1961;6;29;17.5;24.1;11;0;15.2
"1961-06-30";1961;6;30;20.5;26.3;10;0;15.1
"1961-07-01";1961;7;1;22.7;29;10.8;0;15.5
"1961-07-02";1961;7;2;24.7;31.9;13.1;0;14.6
"1961-07-03";1961;7;3;21.1;32.3;16.4;0;9.8
"1961-07-04";1961;7;4;15.6;18.5;12.6;0.4;2.9
"1961-07-05";1961;7;5;12.5;17.9;10.8;15;9.8
"1961-07-06";1961;7;6;12.5;18.6;9.2;1.8;4.7
"1961-07-07";1961;7;7;14.1;18.4;10.2;0;5.9
"1961-07-08";1961;7;8;16.8;21.7;11.8;12.9;3.6
"1961-07-09";1961;7;9;14.3;18.2;13;5.9;4.4
"1961-07-10";1961;7;10;13.9;18.5;10.5;0;6.5
"1961-07-11";1961;7;11;16.6;21;9.4;8.6;0.6
"1961-07-12";1961;7;12;20.4;25.4;12.9;0;10.9
"1961-07-13";1961;7;13;17.5;22.9;15.8;9.2;3.3
"1961-07-14";1961;7;14;15.3;20.4;11.7;0.5;3.3
"1961-07-15";1961;7;15;17.1;22.9;11.4;0;10.1
"1961-07-16";1961;7;16;16;21.9;10.8;0.8;8.4
"1961-07-17";1961;7;17;13.8;17.4;9.5;4.6;1.9
"1961-07-18";1961;7;18;14.8;19.4;12;7.8;1.4
"1961-07-19";1961;7;19;15.4;20.3;11.4;0;9.9
"1961-07-20";1961;7;20;15;17.9;13.5;8.8;1.3
"1961-07-21";1961;7;21;15.6;19.1;13.2;3.1;1.8
"1961-07-22";1961;7;22;14.6;16.4;13.1;0;0.3
"1961-07-23";1961;7;23;14.4;17.4;13.1;0;0.3
"1961-07-24";1961;7;24;13.9;16.3;12;0;0
"1961-07-25";1961;7;25;15.6;19.5;12;0;2.3
"1961-07-26";1961;7;26;17.8;24;13.8;0.8;0.6
"1961-07-27";1961;7;27;16;19.9;14.9;2.4;1.2
"1961-07-28";1961;7;28;13.4;16.2;12.8;1.4;0.4
"1961-07-29";1961;7;29;13.2;17.4;10.7;0;2
"1961-07-30";1961;7;30;14.2;17.5;10.2;0;3.3
"1961-07-31";1961;7;31;14.2;16.7;12.1;0.2;0.6
"1961-08-01";1961;8;1;14.8;20.8;11.8;0;11.7
"1961-08-02";1961;8;2;14.5;20.1;10.3;7.4;0.3
"1961-08-03";1961;8;3;12;18.9;11;7.8;7.7
"1961-08-04";1961;8;4;14.8;16;9.6;1.4;0
"1961-08-05";1961;8;5;19.6;24.6;15.4;0;6.1
"1961-08-06";1961;8;6;19.7;26.1;16.8;1.5;12.5
"1961-08-07";1961;8;7;15.3;21.6;12.2;3.4;6.9
"1961-08-08";1961;8;8;16.2;19;6.8;0.2;2.8
"1961-08-09";1961;8;9;18.1;24.9;12;0;11.6
"1961-08-10";1961;8;10;17.4;23.4;11.5;13;3
"1961-08-11";1961;8;11;17;20.5;14.9;3.5;2.2
"1961-08-12";1961;8;12;15.2;20.1;13.2;0;5.2
"1961-08-13";1961;8;13;13.3;19;9.9;0;9.3
"1961-08-14";1961;8;14;14;18.6;10.5;2.2;4
"1961-08-15";1961;8;15;12.8;16;11.3;9.3;2.5
"1961-08-16";1961;8;16;12.2;16.9;10.2;1.3;4.8
"1961-08-17";1961;8;17;12.9;17.4;9;1.4;9.1
"1961-08-18";1961;8;18;14.8;18.9;10.3;3.4;8.9
"1961-08-19";1961;8;19;13.9;16.4;12.8;1.2;1.2
"1961-08-20";1961;8;20;15.4;19.3;12.6;0.5;9.3
"1961-08-21";1961;8;21;17.1;19.7;13.6;2.2;1.7
"1961-08-22";1961;8;22;14;18.4;13.5;5.7;4.9
"1961-08-23";1961;8;23;13.8;17.9;12.6;0;6.1
"1961-08-24";1961;8;24;15.5;19.3;8.8;1.2;3.5
"1961-08-25";1961;8;25;14.6;19;13.1;0.3;9.5
"1961-08-26";1961;8;26;17.4;21.8;12.2;0.5;2
"1961-08-27";1961;8;27;18.6;24.9;14.6;0;9.2
"1961-08-28";1961;8;28;16.1;22.9;10.6;0;9
"1961-08-29";1961;8;29;15.8;23.1;9.6;0;12.3
"1961-08-30";1961;8;30;17;26.3;9;0;12.3
"1961-08-31";1961;8;31;17.8;27.2;10.5;0;12.7
"1962-06-01";1962;6;1;9.2;16;3.9;1.2;6.8
"1962-06-02";1962;6;2;8;12.6;4;2.8;11.2
"1962-06-03";1962;6;3;8;13;2.3;1.2;10.2
"1962-06-04";1962;6;4;10.1;16.1;3.8;0;11.6
"1962-06-05";1962;6;5;10.6;16.7;2.5;0;14.6
"1962-06-06";1962;6;6;9.6;14.7;3.5;0;16.6
"1962-06-07";1962;6;7;13.6;19.7;1.7;0;15.4
"1962-06-08";1962;6;8;15.8;23.4;3;0;15.4
"1962-06-09";1962;6;9;15.3;22.2;7.4;0;16.4
"1962-06-10";1962;6;10;16.4;23.1;8.1;3;10.6
"1962-06-11";1962;6;11;12.2;15.1;11;0.2;3.2
"1962-06-12";1962;6;12;11.8;16.4;7.6;0;4.9
"1962-06-13";1962;6;13;16.8;21.8;4.2;0;14.2
"1962-06-14";1962;6;14;19.3;26.4;11.6;0;12.7
"1962-06-15";1962;6;15;21.5;30.7;11.7;7.2;9.1
"1962-06-16";1962;6;16;19.2;22.6;14.4;2.7;1.2
"1962-06-17";1962;6;17;16;20.8;12.1;0;10.2
"1962-06-18";1962;6;18;19.3;25.1;8.1;0;13.2
"1962-06-19";1962;6;19;19.5;28.5;15.6;6.2;7.8
"1962-06-20";1962;6;20;16.4;21.9;11.2;0;11.8
"1962-06-21";1962;6;21;18.9;23.9;11.3;0;4.9
"1962-06-22";1962;6;22;21.3;26.6;12.5;0.3;8.6
"1962-06-23";1962;6;23;18.1;21.9;16.3;0.1;1.6
"1962-06-24";1962;6;24;18.8;26.2;10.3;0;9.8
"1962-06-25";1962;6;25;13.7;18.3;11.4;0.1;9.8
"1962-06-26";1962;6;26;13.6;18.1;7.2;2.5;7.2
"1962-06-27";1962;6;27;12.2;16.7;9.2;1.4;5.4
"1962-06-28";1962;6;28;9.6;14;7.5;9.2;3.3
"1962-06-29";1962;6;29;12;16.4;9.3;0.3;6.2
"1962-06-30";1962;6;30;12.3;16.6;8.8;0;1.5
"1962-07-01";1962;7;1;12.4;17.1;10;0.3;2.3
"1962-07-02";1962;7;2;11.1;15;8.4;4.9;0.1
"1962-07-03";1962;7;3;10;13.8;8.6;12.3;6.1
"1962-07-04";1962;7;4;10.5;15;8;6;1.5
"1962-07-05";1962;7;5;12.3;16.7;8.8;0.9;5.1
"1962-07-06";1962;7;6;11.8;15;8.8;2;4.2
"1962-07-07";1962;7;7;12.4;15.9;10.2;5.3;4.1
"1962-07-08";1962;7;8;14.2;18.3;10.5;4.3;3.2
"1962-07-09";1962;7;9;15.1;20.7;11.2;0;6.7
"1962-07-10";1962;7;10;16.8;22.8;9.8;0;15.9
"1962-07-11";1962;7;11;16;20.5;7.1;0;3.3
"1962-07-12";1962;7;12;16.1;19.9;12.6;1.6;4.6
"1962-07-13";1962;7;13;14.9;18.4;13;4.6;2
"1962-07-14";1962;7;14;13.8;17.3;12.5;0.1;0.1
"1962-07-15";1962;7;15;16.7;20.8;8.2;0;3.8
"1962-07-16";1962;7;16;16;20.9;9.6;0.3;7.9
"1962-07-17";1962;7;17;15.8;22.4;11.1;0;6.4
"1962-07-18";1962;7;18;15.7;21.4;12.4;0;4.7
"1962-07-19";1962;7;19;18.4;25.8;10.3;0;11.1
"1962-07-20";1962;7;20;18.2;23.5;14.3;0;4.8
"1962-07-21";1962;7;21;19.9;27.9;12.4;10.9;6.2
"1962-07-22";1962;7;22;18.2;24.3;15;0.9;10
"1962-07-23";1962;7;23;16;21.1;12.4;0.3;8.8
"1962-07-24";1962;7;24;13.6;19.5;10;0;10.1
"1962-07-25";1962;7;25;17.2;22.7;7.2;0;8.8
"1962-07-26";1962;7;26;17.7;23.3;13.2;4.3;5.1
"1962-07-27";1962;7;27;15.3;20.3;13.7;0;4
"1962-07-28";1962;7;28;13.6;20.4;9.9;1.3;8.2
"1962-07-29";1962;7;29;15.4;21.9;6.1;0;12.7
"1962-07-30";1962;7;30;15;21.1;12.1;2.6;6.8
"1962-07-31";1962;7;31;18.2;24.4;11.9;1;10
"1962-08-01";1962;8;1;16.8;22.4;14;0;8.6
"1962-08-02";1962;8;2;17.8;22.6;12.5;0;8.6
"1962-08-03";1962;8;3;15.6;21.5;9.8;0.9;3.3
"1962-08-04";1962;8;4;18.6;24.4;12.4;1.1;1.5
"1962-08-05";1962;8;5;16.2;20.9;10.9;7.5;1.6
"1962-08-06";1962;8;6;14.7;20.5;10.2;0;2.9
"1962-08-07";1962;8;7;14.8;19.1;12;17.1;0.4
"1962-08-08";1962;8;8;13.2;20;10.9;1.7;8.3
"1962-08-09";1962;8;9;13.2;18.8;8.2;0;10.4
"1962-08-10";1962;8;10;15.8;21.1;9;0;0.2
"1962-08-11";1962;8;11;17.5;22.7;13.2;0;6.5
"1962-08-12";1962;8;12;21.1;29.7;14;0;13.2
"1962-08-13";1962;8;13;17;21.2;13.4;0;2
"1962-08-14";1962;8;14;13.2;19.3;11;0;4
"1962-08-15";1962;8;15;16.6;22.2;8.5;3.7;1.3
"1962-08-16";1962;8;16;17.6;23.1;14.9;0;6
"1962-08-17";1962;8;17;18.4;23.4;12;5.8;4.9
"1962-08-18";1962;8;18;13.8;18.3;12;4.3;3.6
"1962-08-19";1962;8;19;14.2;18.1;11.4;2.2;2.4
"1962-08-20";1962;8;20;15.2;17.1;12.6;0.1;0
"1962-08-21";1962;8;21;16.7;22.6;14;4.9;4.3
"1962-08-22";1962;8;22;14.8;18.8;11.8;2.6;1
"1962-08-23";1962;8;23;13;17.1;10;6.8;2.3
"1962-08-24";1962;8;24;14.9;18.9;10.6;3.3;0.3
"1962-08-25";1962;8;25;13.7;18.4;10.9;1.2;4
"1962-08-26";1962;8;26;13.1;19.4;10.2;0;11.9
"1962-08-27";1962;8;27;15;21.1;8.6;0;3.8
"1962-08-28";1962;8;28;13.1;17.1;10.6;0;4
"1962-08-29";1962;8;29;12.9;17.3;11.6;4.1;4.1
"1962-08-30";1962;8;30;13.2;17.4;9.4;0;10
"1962-08-31";1962;8;31;13;16.4;11.9;0;4.4
"1963-06-01";1963;6;1;13.3;19.5;9.6;0;13.5
"1963-06-02";1963;6;2;12.1;18;5.9;0;12.8
"1963-06-03";1963;6;3;15.2;22.5;4.1;0;13.8
"1963-06-04";1963;6;4;18;24;7.6;0;13.7
"1963-06-05";1963;6;5;19.9;24.6;8.4;0;14.2
"1963-06-06";1963;6;6;20.9;26.5;13.9;0;11.7
"1963-06-07";1963;6;7;21.3;27.6;11.1;0;16.3
"1963-06-08";1963;6;8;18.3;27.2;12.6;0;16.5
"1963-06-09";1963;6;9;17.7;25;8.7;0;16.1
"1963-06-10";1963;6;10;18.4;25.6;9;5;7.4
"1963-06-11";1963;6;11;17.3;21.4;13.8;0;8.7
"1963-06-12";1963;6;12;17.5;23.7;11.2;0;13.5
"1963-06-13";1963;6;13;18.9;25.5;12;0;13.2
"1963-06-14";1963;6;14;19.2;26.4;10.2;0;7.2
"1963-06-15";1963;6;15;15.9;21.5;13.7;0;3.2
"1963-06-16";1963;6;16;16.6;23.2;8.8;0;7.1
"1963-06-17";1963;6;17;17.7;22;10;0.2;9
"1963-06-18";1963;6;18;20.8;25.6;13.9;3;6.4
"1963-06-19";1963;6;19;12.3;21.2;10;2.2;6.1
"1963-06-20";1963;6;20;13.3;16.2;8.1;0.8;4.7
"1963-06-21";1963;6;21;15.2;20;10.6;1.8;0.7
"1963-06-22";1963;6;22;15.2;19.9;12.5;0.6;6.5
"1963-06-23";1963;6;23;14.9;21.7;12;2;9.5
"1963-06-24";1963;6;24;16.4;21;10.4;0;12.4
"1963-06-25";1963;6;25;18.4;25.3;12.3;0.7;7.3
"1963-06-26";1963;6;26;17.3;21.3;14.3;0.1;11
"1963-06-27";1963;6;27;19.2;25.1;8.6;0;12.4
"1963-06-28";1963;6;28;22;32.9;15.1;18.7;8.6
"1963-06-29";1963;6;29;17.9;23.2;13.5;0;9.7
"1963-06-30";1963;6;30;20.5;25.5;10.5;0;12.9
"1963-07-01";1963;7;1;18.1;23.6;14.5;0;4.5
"1963-07-02";1963;7;2;18.4;24.2;13;0;16
"1963-07-03";1963;7;3;19.6;26.5;9.3;0;16
"1963-07-04";1963;7;4;20.5;27.5;11.2;0;16.2
"1963-07-05";1963;7;5;22.5;28;11;0;12.5
"1963-07-06";1963;7;6;19.2;24.5;16;0;8.4
"1963-07-07";1963;7;7;18.1;27.4;13.6;4.4;12.3
"1963-07-08";1963;7;8;14.5;18.5;11;0;5.1
"1963-07-09";1963;7;9;14.7;19.6;10.3;0;2.5
"1963-07-10";1963;7;10;16.3;23;12.4;0.1;6.2
"1963-07-11";1963;7;11;16.4;21.5;11.6;0;9.6
"1963-07-12";1963;7;12;16.7;21.5;7.9;0;3.7
"1963-07-13";1963;7;13;20;26.2;12.4;3;6.8
"1963-07-14";1963;7;14;17.4;22.5;15;0;10
"1963-07-15";1963;7;15;20.4;26.5;9;0;13.6
"1963-07-16";1963;7;16;22.9;30.2;16.3;0.2;11
"1963-07-17";1963;7;17;20.3;25.2;14.6;1.2;8.4
"1963-07-18";1963;7;18;20.8;27.3;12;0.3;8.5
"1963-07-19";1963;7;19;17.6;21;15.5;2.6;0.2
"1963-07-20";1963;7;20;20.4;25;15.4;0;7.4
"1963-07-21";1963;7;21;18.1;23.2;9.9;0;16
"1963-07-22";1963;7;22;20.3;27.6;6.5;0;15.6
"1963-07-23";1963;7;23;21.8;32.2;9;0;14.4
"1963-07-24";1963;7;24;25;32.5;14.4;0;14.9
"1963-07-25";1963;7;25;25.1;31.9;19.5;11.6;9.4
"1963-07-26";1963;7;26;15.6;23.3;14;1.8;4.3
"1963-07-27";1963;7;27;15.3;18.2;13;0;8.5
"1963-07-28";1963;7;28;16.5;22.1;7.6;0;7.6
"1963-07-29";1963;7;29;16.5;22.6;8;0;14.5
"1963-07-30";1963;7;30;17.5;23.5;7.2;0;10.6
"1963-07-31";1963;7;31;17;22.1;8;0;5.7
"1963-08-01";1963;8;1;20.6;27.7;13.5;0;12.3
"1963-08-02";1963;8;2;25;33.1;13.5;0;10.8
"1963-08-03";1963;8;3;24.9;34.8;14.9;0;14
"1963-08-04";1963;8;4;27.2;35;16.9;2.2;11.6
"1963-08-05";1963;8;5;21;28;17.5;0;10.6
"1963-08-06";1963;8;6;24;31.5;13;0;12.7
"1963-08-07";1963;8;7;23.1;32.7;18.6;26.1;9
"1963-08-08";1963;8;8;16.7;19.5;14.7;0.2;0.3
"1963-08-09";1963;8;9;15.9;19.9;14.4;0.2;0.9
"1963-08-10";1963;8;10;15.5;19.6;11.6;1.2;7.5
"1963-08-11";1963;8;11;16.8;22;13.5;0;5.4
"1963-08-12";1963;8;12;16;21.9;12.9;0.1;11.7
"1963-08-13";1963;8;13;15.9;21.5;10.8;0.1;8.9
"1963-08-14";1963;8;14;15.3;22.6;9.8;0;9.2
"1963-08-15";1963;8;15;16.5;21.2;9.6;5.5;1.8
"1963-08-16";1963;8;16;14.8;21.2;12.5;0;12.5
"1963-08-17";1963;8;17;19.5;26;11.2;0;9.4
"1963-08-18";1963;8;18;13.6;19.4;11.8;8.3;0
"1963-08-19";1963;8;19;12.9;16;10.2;8.5;1.1
"1963-08-20";1963;8;20;15.6;19.9;12.1;2.7;4.7
"1963-08-21";1963;8;21;14;19.5;11.7;3.8;8.6
"1963-08-22";1963;8;22;12.9;16.6;8.1;0;2.4
"1963-08-23";1963;8;23;16;22;10.2;7.2;9.2
"1963-08-24";1963;8;24;15.9;20.4;12.9;0.3;10.2
"1963-08-25";1963;8;25;15.6;20.2;13;0.2;9.7
"1963-08-26";1963;8;26;18.1;23.5;11.8;1;2.2
"1963-08-27";1963;8;27;16.1;21.6;13.3;2.5;5.3
"1963-08-28";1963;8;28;15.5;19.9;11.6;11.7;4.5
"1963-08-29";1963;8;29;11.8;15.5;10.6;5;0
"1963-08-30";1963;8;30;12.5;16.1;6.5;0.2;2.1
"1963-08-31";1963;8;31;14.8;17.1;12.1;1.5;0.2
"1964-06-01";1964;6;1;17.3;27.2;8.3;12.5;10
"1964-06-02";1964;6;2;15.4;24.6;11.8;10.5;2.7
"1964-06-03";1964;6;3;19.2;25.2;12.3;0;12.8
"1964-06-04";1964;6;4;18.4;23.5;10.9;0;15
"1964-06-05";1964;6;5;22.1;28.3;10.1;3.5;15.5
"1964-06-06";1964;6;6;17.1;22.6;16.2;3.3;4.9
"1964-06-07";1964;6;7;20.3;25.5;8.7;6.4;11.6
"1964-06-08";1964;6;8;16;20.6;14.5;0;7
"1964-06-09";1964;6;9;14.7;20.6;12;0;10.5
"1964-06-10";1964;6;10;18.1;25.2;8.2;0;14.3
"1964-06-11";1964;6;11;20.8;28.8;12.2;0;14.5
"1964-06-12";1964;6;12;19.9;27.8;13.2;0;11.7
"1964-06-13";1964;6;13;24.3;31.8;14;0;15.9
"1964-06-14";1964;6;14;24.7;33.4;18.1;9.8;12.5
"1964-06-15";1964;6;15;17.4;21.8;16;0;4.1
"1964-06-16";1964;6;16;16.2;22;11.7;0;10.3
"1964-06-17";1964;6;17;18.1;24.3;11.7;0;14.2
"1964-06-18";1964;6;18;22.1;27.2;12.1;0;14.9
"1964-06-19";1964;6;19;21.3;27.3;17.1;0.3;10.9
"1964-06-20";1964;6;20;18.7;23.8;12.8;0.9;12.2
"1964-06-21";1964;6;21;12.8;19.4;10.4;1.6;0.3
"1964-06-22";1964;6;22;15.8;20.8;7.8;0.1;6
"1964-06-23";1964;6;23;14.8;20;12.2;0;10.7
"1964-06-24";1964;6;24;14.5;20.4;7.9;0;10.6
"1964-06-25";1964;6;25;17.4;23.2;5.9;0;14.4
"1964-06-26";1964;6;26;19.1;26.2;8.3;0;15.2
"1964-06-27";1964;6;27;21.1;29;12.8;3.7;5.7
"1964-06-28";1964;6;28;19.8;26.3;14.6;0;7.8
"1964-06-29";1964;6;29;14.2;19.5;10.2;0;8.8
"1964-06-30";1964;6;30;13.3;17.4;8.9;3.6;8.4
"1964-07-01";1964;7;1;13.1;17.3;11.3;0.5;3.7
"1964-07-02";1964;7;2;15.1;20.2;7.6;0;5.1
"1964-07-03";1964;7;3;14.7;20.5;10;1.1;3.5
"1964-07-04";1964;7;4;13.1;17.4;8.9;0.5;7.8
"1964-07-05";1964;7;5;12.9;16.6;7.6;0;7.1
"1964-07-06";1964;7;6;12.4;17.5;8.7;1.7;7.6
"1964-07-07";1964;7;7;15;20.8;8.1;0;10.1
"1964-07-08";1964;7;8;19.1;26.2;10.3;0.1;4.1
"1964-07-09";1964;7;9;16.2;21.4;15.2;1.6;1
"1964-07-10";1964;7;10;17.1;22.4;12.4;0;7.4
"1964-07-11";1964;7;11;16.4;21.4;8.9;0;11.8
"1964-07-12";1964;7;12;19.9;24;11.2;0;6.1
"1964-07-13";1964;7;13;20.8;27.8;14.9;2.6;7.2
"1964-07-14";1964;7;14;21.1;28.6;16;0;8.6
"1964-07-15";1964;7;15;24.6;30.4;13;0;14
"1964-07-16";1964;7;16;23.6;31.5;19;0;5.2
"1964-07-17";1964;7;17;20.5;25.5;16;0;14.8
"1964-07-18";1964;7;18;21.4;27.8;10.8;0;14.6
"1964-07-19";1964;7;19;24.9;33.4;12.5;0.5;12.9
"1964-07-20";1964;7;20;21.5;27.5;17.4;0;11.2
"1964-07-21";1964;7;21;23;28.8;14.1;11.5;12.3
"1964-07-22";1964;7;22;21.6;29.3;16.9;0;8
"1964-07-23";1964;7;23;16.8;20.3;13.5;0;5.4
"1964-07-24";1964;7;24;15.3;17.5;13.8;0;0
"1964-07-25";1964;7;25;18.1;24.8;11.6;0;7.6
"1964-07-26";1964;7;26;22;30.1;12.4;0;14.3
